display_name,system_name,Description,value_data_type
Energy Efficiency,EnergyEfficiency_Task_Lamps,Energy Efficiency,text
Energy Efficiency,EnergyEfficiency_Under-Cabinet_Lighting,Energy Efficiency,text
Fire Rating,FireRating_Junction_Boxes,Fire Rating,text
Fixture Material,FixtureMaterial_Ceiling_Lights,Fixture Material,list
Fixture Material,FixtureMaterial_Chandeliers,Fixture Material,list
Fixture Material,FixtureMaterial_Flush_Mount_Lights,Fixture Material,list
Fixture Material,FixtureMaterial_Pendant_Lights,Fixture Material,list
Fixture Material,FixtureMaterial_Recessed_Lighting,Fixture Material,list
Fixture Material,FixtureMaterial_Wall_Sconces,Fixture Material,list
GFCI Protection,GFCIProtection_GFCI_Outlets,GFCI Protection,text
Heat Resistance,HeatResistance_Electrical_Conduits,Heat Resistance,text
Heat Resistance,HeatResistance_Electrical_Tape,Heat Resistance,text
Heat Resistance,HeatResistance_Junction_Boxes,Heat Resistance,text
Heat Resistance,HeatResistance_Mounting_Hardware,Heat Resistance,text
Heat Resistance,HeatResistance_Wire_Connectors,Heat Resistance,text
Housing Material,HousingMaterial_Cabinet_Spotlights,Housing Material,text
Housing Material,HousingMaterial_LED_Puck_Lights,Housing Material,text
Housing Material,HousingMaterial_Strip_Lights,Housing Material,text
Housing Material,HousingMaterial_Task_Lamps,Housing Material,text
Housing Material,HousingMaterial_Under-Cabinet_Lighting,Housing Material,text
Installation Type,InstallationType_Cabinet_Spotlights,Installation Type,text
Installation Type,InstallationType_LED_Puck_Lights,Installation Type,text
Installation Type,InstallationType_Strip_Lights,Installation Type,text
