display_name,system_name,Description,value_data_type
Mounting Type,MountingType_USB_Outlets,Mounting Type,list
Mounting Type,MountingType_Wall_Sconces,Mounting Type,list
Mounting Type,MountingType_Weatherproof_Outlets,Mounting Type,list
Number of Ports,NumberofPorts_USB_Outlets,Number of Ports,numeric
Number of Track Heads,NumberofTrackHeads_Flexible_Track_Lighting,Number of Track Heads,alphanumeric
Number of Track Heads,NumberofTrackHeads_Linear_Track_Lighting,Number of Track Heads,alphanumeric
Number of Track Heads,NumberofTrackHeads_Spotlight_Tracks,Number of Track Heads,alphanumeric
Number of Track Heads,NumberofTrackHeads_Track_Lighting,Number of Track Heads,alphanumeric
Number of Track Heads,NumberofTrackHeads_Track_Lighting_Systems,Number of Track Heads,alphanumeric
Operating Voltage,OperatingVoltage_Deck_Lights,Operating Voltage,numeric
Operating Voltage,OperatingVoltage_Floodlights,Operating Voltage,numeric
Operating Voltage,OperatingVoltage_Landscape_Lighting,Operating Voltage,numeric
Operating Voltage,OperatingVoltage_Pathway_Lights,Operating Voltage,numeric
Operating Voltage,OperatingVoltage_Post_Lights,Operating Voltage,numeric
Operating Voltage,OperatingVoltage_Security_Lights,Operating Voltage,numeric
Portability,Portability_Arc_Lamps,Portability,boolean
Portability,Portability_Bedside_Lamps,Portability,boolean
Portability,Portability_Buffet_Lamps,Portability,boolean
Portability,Portability_Desk_Lamps,Portability,boolean
Portability,Portability_Floor_Lamps,Portability,boolean
Portability,Portability_Table_Lamps,Portability,boolean
Power Source,PowerSource_Backup_Lights,Power Source,text
Power Source,PowerSource_Deck_Lights,Power Source,text
Power Source,PowerSource_Emergency_Floodlights,Power Source,text
Power Source,PowerSource_Emergency_Lights,Power Source,text
Power Source,PowerSource_Exit_Signs,Power Source,text
Power Source,PowerSource_Floodlights,Power Source,text
Power Source,PowerSource_Landscape_Lighting,Power Source,text
Power Source,PowerSource_Pathway_Lights,Power Source,text
Power Source,PowerSource_Post_Lights,Power Source,text
Power Source,PowerSource_Security_Lights,Power Source,text
Power Supply,PowerSupply_LED_Light_Bars,Power Supply,text
Power Supply,PowerSupply_LED_Panel_Lights,Power Supply,text
Power Supply,PowerSupply_LED_Strip_Lights,Power Supply,text
Power Supply,PowerSupply_RGB_LED_Strips,Power Supply,text
Power Supply,PowerSupply_Waterproof_LED_Strips,Power Supply,text
Recharge Time,RechargeTime_Backup_Lights,Recharge Time,numeric
Recharge Time,RechargeTime_Emergency_Floodlights,Recharge Time,numeric
Recharge Time,RechargeTime_Emergency_Lights,Recharge Time,numeric
Recharge Time,RechargeTime_Exit_Signs,Recharge Time,numeric
Remote Control,RemoteControl_Dimmer_Switches,Remote Control,text
Remote Control,RemoteControl_Smart_Switches,Remote Control,text
Running Time,RunningTime_Backup_Lights,Running Time,numeric
Running Time,RunningTime_Emergency_Floodlights,Running Time,numeric
Running Time,RunningTime_Emergency_Lights,Running Time,numeric
Running Time,RunningTime_Exit_Signs,Running Time,numeric
Self-Diagnostic Features,Self-DiagnosticFeatures_Backup_Lights,Self-Diagnostic Features,text
Self-Diagnostic Features,Self-DiagnosticFeatures_Emergency_Floodlights,Self-Diagnostic Features,text
Self-Diagnostic Features,Self-DiagnosticFeatures_Emergency_Lights,Self-Diagnostic Features,text
Self-Diagnostic Features,Self-DiagnosticFeatures_Exit_Signs,Self-Diagnostic Features,text
Shade Material,ShadeMaterial_Arc_Lamps,Shade Material,text
